cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:17:37.177,6,10.2.0.1,1106,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:17:49.177,6,10.2.0.1,1106,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:21:51.181,6,10.2.0.1,1165,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:21:55.181,6,10.2.0.1,1165,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:23:53.186,6,10.2.0.1,1170,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:23:56.185,6,10.2.0.1,1170,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:25:00.185,6,10.2.0.1,1181,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:25:02.185,6,10.2.0.1,1181,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:32:04.186,6,10.2.0.1,1300,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:32:08.185,6,10.2.0.1,1300,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:32:10.185,6,10.2.0.1,1300,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:33:38.189,6,10.2.0.1,1304,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:33:39.19,6,10.2.0.1,1304,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:33:42.189,6,10.2.0.1,1304,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:39:55.197,6,10.2.0.1,1373,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:39:58.197,6,10.2.0.1,1373,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:40:05.197,6,10.2.0.1,1373,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:40:07.197,6,10.2.0.1,1373,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:40:09.198,6,10.2.0.1,1373,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:42:21.197,6,10.2.0.1,1442,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:42:24.198,6,10.2.0.1,1442,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:43:06.197,6,10.2.0.1,1443,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:43:09.197,6,10.2.0.1,1443,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:43:12.197,6,10.2.0.1,1443,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:43:14.197,6,10.2.0.1,1443,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 17:43:18.197,6,10.2.0.1,1443,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:02:27.206,6,10.2.0.1,1518,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:02:30.205,6,10.2.0.1,1518,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:04:13.205,6,10.2.0.1,1526,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:04:16.206,6,10.2.0.1,1526,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:05:56.205,6,10.2.0.1,1529,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:05:58.206,6,10.2.0.1,1530,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:06:00.205,6,10.2.0.1,1530,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:06:02.206,6,10.2.0.1,1530,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:06:03.205,6,10.2.0.1,1530,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:06:06.206,6,10.2.0.1,1530,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:22:57.209,6,10.2.0.1,1616,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:22:58.209,6,10.2.0.1,1616,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:23:01.209,6,10.2.0.1,1616,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:23:06.209,6,10.2.0.1,1616,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:24:17.209,6,10.2.0.1,1624,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:24:21.211,6,10.2.0.1,1624,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:24:42.214,6,10.2.0.1,1626,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:24:44.213,6,10.2.0.1,1626,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:26:42.213,6,10.2.0.1,1630,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:26:45.213,6,10.2.0.1,1630,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:28:26.213,6,10.2.0.1,1656,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:28:29.214,6,10.2.0.1,1656,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:29:29.214,6,10.2.0.1,1659,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:29:33.213,6,10.2.0.1,1659,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 18:29:36.213,6,10.2.0.1,1659,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 19:02:44.217,6,10.2.0.1,1766,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 19:02:51.218,6,10.2.0.1,1766,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-25 19:05:18.217,6,10.2.0.1,1770,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:50:31.582,6,10.2.0.1,1246,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:50:35.582,6,10.2.0.1,1246,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:03.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:04.581,6,10.2.0.1,1285,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:06.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:07.581,6,10.2.0.1,1285,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:08.582,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:09.582,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:11.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:12.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:13.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:14.584,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:15.581,6,10.2.0.1,1285,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:16.582,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:17.581,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 12:52:18.582,6,10.2.0.1,1285,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:19:31.606,6,10.2.0.1,1401,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:19:31.606,6,10.2.0.1,1400,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:19:33.605,6,10.2.0.1,1401,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:19:34.605,6,10.2.0.1,1401,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:21:57.605,6,10.2.0.1,1413,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:22:12.605,6,10.2.0.1,1413,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:22:26.606,6,10.2.0.1,1413,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:22:31.606,6,10.2.0.1,1413,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:32:01.609,6,10.2.0.1,1456,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:35:47.609,6,10.2.0.1,1472,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:38:03.609,6,10.2.0.1,1482,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:38:58.609,6,10.2.0.1,1483,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:38:59.609,6,10.2.0.1,1483,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:38:59.609,6,10.2.0.1,1484,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:39:00.609,6,10.2.0.1,1484,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:39:02.609,6,10.2.0.1,1484,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:39:17.609,6,10.2.0.1,1484,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:43:58.613,6,10.2.0.1,1510,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:44:09.613,6,10.2.0.1,1510,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:49:47.613,6,10.2.0.1,1517,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:49:56.613,6,10.2.0.1,1517,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:52:16.614,6,10.2.0.1,1532,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:52:25.613,6,10.2.0.1,1532,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:54:18.613,6,10.2.0.1,1542,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 13:54:29.613,6,10.2.0.1,1542,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:03:26.613,6,10.2.0.1,1561,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:03:35.613,6,10.2.0.1,1562,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:03:49.613,6,10.2.0.1,1562,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:03:59.613,6,10.2.0.1,1562,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:05:55.613,6,10.2.0.1,1571,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:06:05.615,6,10.2.0.1,1571,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:09:28.613,6,10.2.0.1,1579,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:09:30.613,6,10.2.0.1,1579,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:09:40.613,6,10.2.0.1,1579,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:15:26.621,6,10.2.0.1,1597,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:15:36.621,6,10.2.0.1,1598,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:18:08.625,6,10.2.0.1,1609,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:18:18.624,6,10.2.0.1,1610,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:18:52.621,6,10.2.0.1,1612,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:19:55.622,6,10.2.0.1,1636,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:20:07.622,6,10.2.0.1,1636,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:23:52.621,6,10.2.0.1,1650,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-26 14:24:09.621,6,10.2.0.1,1651,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 12:55:37.189,6,10.2.0.1,1451,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 12:55:47.189,6,10.2.0.1,1451,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 12:59:02.189,6,10.2.0.1,1459,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 12:59:04.19,6,10.2.0.1,1459,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 12:59:06.189,6,10.2.0.1,1459,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:01:38.193,6,10.2.0.1,1466,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:01:39.194,6,10.2.0.1,1467,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:01:39.194,6,10.2.0.1,1466,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:01:41.193,6,10.2.0.1,1467,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:03:09.194,6,10.2.0.1,1477,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:54:48.209,6,10.2.0.1,1566,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 13:54:56.209,6,10.2.0.1,1566,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 14:30:23.217,6,10.2.0.1,1844,/HWJavaSocket/test.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 14:30:26.217,6,10.2.0.1,1844,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 14:32:28.217,6,10.2.0.1,1858,/HWJavaSocket/test.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 14:32:32.217,6,10.2.0.1,1858,/HWJavaSocket/test.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 14:32:34.217,6,10.2.0.1,1858,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:45:14.258,6,10.2.0.1,2668,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:45:14.258,6,10.2.0.1,2666,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:45:25.557,6,10.2.0.1,2668,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:45:43.257,6,10.2.0.1,2668,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:48:02.257,6,10.2.0.1,2684,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:48:18.257,6,10.2.0.1,2684,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:51:14.257,6,10.2.0.1,2692,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:51:16.257,6,10.2.0.1,2692,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:51:32.258,6,10.2.0.1,2692,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:53:39.257,6,10.2.0.1,2701,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:53:40.257,6,10.2.0.1,2701,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:53:56.257,6,10.2.0.1,2701,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:56:55.257,6,10.2.0.1,2727,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:57:12.258,6,10.2.0.1,2727,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:58:02.257,6,10.2.0.1,2730,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 15:58:18.258,6,10.2.0.1,2730,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:00:32.261,6,10.2.0.1,2731,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:00:33.261,6,10.2.0.1,2731,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:00:34.262,6,10.2.0.1,2731,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:00:37.261,6,10.2.0.1,2731,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:08:05.261,6,10.2.0.1,2872,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:08:06.262,6,10.2.0.1,2872,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-27 16:39:28.265,6,10.2.0.1,3065,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:25:42.592,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:25:43.59,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:25:50.59,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:07.59,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:08.59,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:09.591,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:18.591,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:20.59,6,10.2.0.1,1061,/
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:25.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:34.59,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:45.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:46.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:47.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:48.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:26:58.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:01.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:04.59,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:05.59,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:06.59,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:07.6,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:08.594,6,10.2.0.1,1061,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:27:09.594,6,10.2.0.1,1061,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:28:07.598,6,10.2.0.1,1074,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:28:08.598,6,10.2.0.1,1074,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:28:09.598,6,10.2.0.1,1074,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:28:12.598,6,10.2.0.1,1074,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:28:32.598,6,10.2.0.1,1075,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:30:24.598,6,10.2.0.1,1077,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:30:30.598,6,10.2.0.1,1077,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:30:31.599,6,10.2.0.1,1078,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:30:31.599,6,10.2.0.1,1077,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:18.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:22.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:25.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:27.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:28.599,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:29.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:32.599,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:34.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:35.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:37.599,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:38.598,6,10.2.0.1,1079,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:39.598,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:39.598,6,10.2.0.1,1080,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:31:40.599,6,10.2.0.1,1079,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:32:21.598,6,10.2.0.1,1081,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:32:25.598,6,10.2.0.1,1081,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:32:27.598,6,10.2.0.1,1081,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:32:29.598,6,10.2.0.1,1081,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:38:37.603,6,10.2.0.1,1113,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:38:38.602,6,10.2.0.1,1113,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:38:41.602,6,10.2.0.1,1113,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:38:42.602,6,10.2.0.1,1113,/HWJavaSocket/socket.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:38:43.603,6,10.2.0.1,1113,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-04-30 17:45:15.602,6,10.2.0.1,1142,/HWJavaSocket/socket.htm
